N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
70.0,코웨이,61300.0,300.0,-0.49%,500.0,36643.0,38006.0,6402.0
71.0,삼성엔지니어링,22400.0,50.0,-0.22%,5000.0,74867.0,60587.0,5033.0
72.0,SKC,115000.0,1000.0,+0.88%,5000.0,33961.0,61801.0,4647.0
73.0,롯데지주,40950.0,450.0,-1.09%,200.0,99249.0,199219.0,2164.0
74.0,메리츠화재,36750.0,200.0,-0.54%,500.0,118614.0,276890.0,9076.0
75.0,GS,45750.0,100.0,+0.22%,5000.0,202401.0,311913.0,26403.0
76.0,DB손해보험,59900.0,600.0,+1.01%,500.0,208806.0,647516.0,11084.0
77.0,현대제철,31500.0,750.0,-2.33%,5000.0,228499.0,370423.0,24475.0
78.0,현대미포조선,103500.0,2000.0,+1.97%,5000.0,28872.0,38783.0,-2173.0
79.0,유한양행,56000.0,100.0,-0.18%,1000.0,16878.0,24638.0,486.0
80.0,한화에어로스페이스,80600.0,800.0,+1.00%,5000.0,64151.0,110458.0,3830.0
81.0,미래에셋증권,6470.0,10.0,-0.15%,5000.0,131448.0,1086418.0,14855.0
82.0,한국가스공사,42550.0,450.0,+1.07%,5000.0,275208.0,436699.0,12397.0
83.0,오리온,97000.0,500.0,-0.51%,500.0,23555.0,31204.0,3729.0
84.0,금호석유,125000.0,2500.0,-1.96%,5000.0,84618.0,81157.0,24068.0
85.0,한미약품,299000.0,3000.0,-0.99%,2500.0,12032.0,19367.0,1254.0
86.0,메리츠금융지주,28300.0,1000.0,-3.41%,500.0,356499.0,820309.0,18006.0
87.0,삼성카드,31000.0,50.0,-0.16%,5000.0,35881.0,271442.0,7493.0
88.0,에스디바이오센서,33200.0,150.0,-0.45%,500.0,29300.0,30051.0,13640.0
89.0,현대차2우B,93100.0,100.0,+0.11%,5000.0,,,
90.0,두산밥캣,33600.0,400.0,-1.18%,500.0,58162.0,85809.0,5953.0
91.0,쌍용C&E,6680.0,140.0,-2.05%,100.0,16614.0,35648.0,2487.0
92.0,현대오토에버,121000.0,2500.0,+2.11%,500.0,20704.0,23461.0,961.0
93.0,현대로템,30200.0,350.0,+1.17%,5000.0,28725.0,41072.0,802.0
94.0,TIGER 차이나전기차SOLACTIVE,14540.0,90.0,-0.62%,0.0,,,
95.0,한진칼,48650.0,1150.0,-2.31%,2500.0,3953.0,37547.0,-1952.0
96.0,NH투자증권,9740.0,50.0,-0.51%,5000.0,107622.0,585420.0,12939.0
97.0,포스코인터내셔널,25800.0,250.0,-0.96%,5000.0,339489.0,107707.0,5854.0
98.0,일진머티리얼즈,68800.0,1200.0,-1.71%,500.0,6889.0,17536.0,699.0
99.0,한국금융지주,56000.0,400.0,+0.72%,5000.0,137861.0,820366.0,15210.0
100.0,삼성증권,33300.0,0.0,0.00%,5000.0,98095.0,657075.0,13087.0
101.0,한미사이언스,43300.0,400.0,-0.92%,500.0,9502.0,9499.0,589.0
102.0,메리츠증권,4590.0,45.0,-0.97%,1000.0,232474.0,541082.0,9489.0
103.0,한화시스템,15150.0,450.0,-2.88%,5000.0,20895.0,38943.0,1120.0
104.0,호텔신라,72400.0,500.0,-0.69%,5000.0,37791.0,26564.0,1188.0
105.0,GS리테일,26950.0,1000.0,+3.85%,1000.0,97657.0,94560.0,2085.0
106.0,현대해상,31350.0,450.0,+1.46%,500.0,188422.0,528180.0,6393.0
107.0,아모레G,33800.0,700.0,-2.03%,500.0,53261.0,80381.0,3562.0
108.0,롯데쇼핑,96800.0,700.0,+0.73%,5000.0,155736.0,334265.0,2076.0
109.0,이마트,97000.0,300.0,+0.31%,5000.0,249327.0,312421.0,3168.0
110.0,씨에스윈드,64100.0,3000.0,-4.47%,500.0,12034.0,17739.0,1010.0
111.0,BGF리테일,156000.0,1500.0,-0.95%,1000.0,67812.0,25964.0,1994.0
112.0,팬오션,5030.0,30.0,+0.60%,1000.0,46161.0,64888.0,5729.0
113.0,CJ대한통운,117500.0,500.0,-0.42%,5000.0,113437.0,89939.0,3439.0
114.0,한전기술,68400.0,1100.0,-1.58%,200.0,4331.0,7055.0,101.0
115.0,OCI,109000.0,1500.0,-1.36%,5000.0,32440.0,57041.0,6260.0
116.0,KCC,284000.0,3500.0,-1.22%,5000.0,58749.0,128789.0,3888.0
117.0,GS건설,29200.0,200.0,+0.69%,5000.0,90366.0,151837.0,6465.0
118.0,제일기획,21600.0,50.0,+0.23%,200.0,33257.0,25421.0,2482.0
119.0,만도,52800.0,0.0,0.00%,1000.0,61474.0,57044.0,2323.0
120.0,한솔케미칼,215000.0,4500.0,+2.14%,5000.0,7687.0,11972.0,1977.0
121.0,두산퓨얼셀,35500.0,1150.0,-3.14%,100.0,3814.0,6989.0,180.0
122.0,LIG넥스원,105500.0,2500.0,+2.43%,5000.0,18222.0,25768.0,972.0
123.0,한화,30500.0,650.0,-2.09%,5000.0,528361.0,2023664.0,29279.0
124.0,동서,22800.0,1050.0,-4.40%,500.0,5353.0,15826.0,384.0
125.0,KODEX 200선물인버스2X,3185.0,30.0,+0.95%,0.0,,,
126.0,현대차우,91500.0,200.0,+0.22%,5000.0,,,
